uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"ad331779-c7b5-48ff-941f-d9bff67143be","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,,,"2015-08-04T14:18Z","HARV.2015.31","HARV_022.20150804",,"drag",165,"Y",0,2,,"No known compromise","NEON.DOC.014045vF","Kauger@field-ops.org",,"legacyData"
"b0d180e3-5fb0-410d-932f-75da5a885ae3","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,,,"2015-08-04T16:32Z","HARV.2015.31","HARV_006.20150804",,"drag",163,"Y",0,0,11,"No known compromise","NEON.DOC.014045vF","ehardiman@field-ops.org","no data transcription errors found","legacyData"
"488ea9c5-9932-4668-aa74-2fe6a3790422","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"OK",,"2015-08-05T14:08Z","HARV.2015.31","HARV_001.20150805",,"drag",160,"Y",0,0,1,,"NEON.DOC.014045vF","sives@field-ops.org",,
"691d16b0-85d9-4bec-8fad-03ce73046090","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,,,"2015-08-05T16:00Z","HARV.2015.31","HARV_026.20150805",,"drag and flag",168,"Y",0,0,64,"No known compromise","NEON.DOC.014045vF","kauger@field-ops.org",,"legacyData"
"6f0ab1c3-2e33-47e4-b7d6-78830db44140","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,,,"2015-08-06T13:37Z","HARV.2015.31","HARV_004.20150806",,"drag",165,"Y",0,6,13,"No known compromise","NEON.DOC.014045vF","sives@field-ops.org","sampling delayed 2 days due to inability to access plot (downed trees in road); no data transcription errors found","legacyData"
"103366a3-da19-42ba-a7f3-608986161f03","HARV_020.tickPlot.tck","D01","HARV","HARV_020","distributed","woodyWetlands",42.438157,-72.228923,"WGS84",20.2,228.3,0.3,,,"2015-08-06T14:57Z","HARV.2015.31","HARV_020.20150806",,"drag and flag",164,"Y",0,3,,"No known compromise","NEON.DOC.014045vF","sives@field-ops.org","sampling delayed 2 days due to inability to access plot (downed trees in road)","legacyData"
"e3a89930-e462-4449-8761-9c7c058ef543","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,,,"2015-08-26T14:41Z","HARV.2015.34",,,"drag and flag",160,"N",0,0,0,,"NEON.DOC.014045vF","auccello@field-ops.org",,"legacyData"
"d6ced01c-1475-4678-80ae-e09c300eb1de","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,,,"2015-08-26T15:46Z","HARV.2015.34","HARV_022.20150826",,"drag and flag",165,"Y",0,1,21,"No known compromise","NEON.DOC.014045vF","auccello@field-ops.org","no transcription errors found LL 20150924","legacyData"
"85417120-7530-4883-9ca1-7bf6abea3964","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,,,"2015-08-26T17:02Z","HARV.2015.34","HARV_004.20150826",,"drag",160,"Y",0,4,19,"No known compromise","NEON.DOC.014045vF","thillman@neoninc.org",,"legacyData"
"3458b233-ff9a-4b40-8044-78b6da5fd96d","HARV_020.tickPlot.tck","D01","HARV","HARV_020","distributed","woodyWetlands",42.438157,-72.228923,"WGS84",20.2,228.3,0.3,,,"2015-08-26T18:05Z","HARV.2015.34","HARV_020.20150826",,"drag and flag",165,"Y",0,0,10,"No known compromise","NEON.DOC.014045vF","auccello@field-ops.org",,"legacyData"
"531e86e6-2b26-456a-92a9-db7c97e1d289","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,,,"2015-08-26T19:09Z","HARV.2015.34","HARV_001.20150826",,"drag and flag",175,"Y",0,0,16,"No known compromise","NEON.DOC.014045vF","thillman@neoninc.org",,"legacyData"
"ba4c26d6-88c5-4fde-a06e-e308a96ce8c3","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,,,"2015-08-26T20:15Z","HARV.2015.34","HARV_026.20150826",,"drag and flag",160,"Y",0,0,145,"No known compromise","NEON.DOC.014045vF","thillman@neoninc.org","no transcription errors found LL 20150924","legacyData"
