uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"6d2a12ac-73fc-4851-aab0-29380e345d10","SCBI_005.tickPlot.tck","D02","SCBI","SCBI_005","distributed","deciduousForest",38.901865,-78.161944,"WGS84",20.1,261.6,0.2,,,"2015-05-04T12:50Z","SCBI.2015.18","SCBI_005.20150504",,"drag and flag",163,"Y",2,7,,"No known compromise","NEON.DOC.014045vF","krogers@neoninc.org","dowel broke in half at 128m. We taped it back together and continued. Cloth slightly damp when finished","legacyData"
"694a7e3a-2a6d-4707-865a-bc8f7ec92234","SCBI_007.tickPlot.tck","D02","SCBI","SCBI_007","distributed","deciduousForest",38.886022,-78.129368,"WGS84",20.3,427.4,0.4,,,"2015-05-04T13:02Z","SCBI.2015.18","SCBI_007.20150504",,"drag",154,"Y",0,1,,"No known compromise","NEON.DOC.014045vF","lcard@neoninc.org",,"legacyData"
"a4bfe10c-c76a-43c8-94c1-2d42a6c31140","SCBI_002.tickPlot.tck","D02","SCBI","SCBI_002","distributed","deciduousForest",38.893863,-78.142700,"WGS84",20.3,329.0,0.4,,,"2015-05-04T14:25Z","SCBI.2015.18","SCBI_002.20150504",,"drag",166,"Y",1,1,,"No known compromise","NEON.DOC.014045vF","lcard@neoninc.org","Both Amblyomma americanum","legacyData"
"0d989322-5c26-4683-88c0-a7a2448a2a44","SCBI_006.tickPlot.tck","D02","SCBI","SCBI_006","distributed","pastureHay",38.897079,-78.150277,"WGS84",20.1,277.5,0.1,,,"2015-05-04T15:28Z","SCBI.2015.18","SCBI_006.20150504",,"drag",161,"Y",5,0,,"No known compromise","NEON.DOC.014045vF","lcard@neoninc.org","All Dermacentor variabilis. 1 male, 4 female","legacyData"
"c459612c-79a4-4ee2-a31a-bd433b6be990","SCBI_013.tickPlot.tck","D02","SCBI","SCBI_013","distributed","deciduousForest",38.873041,-78.163313,"WGS84",20.2,361.3,0.3,,,"2015-05-04T16:17Z","SCBI.2015.18","SCBI_013.20150504",,"drag",166,"Y",0,4,,"No known compromise","NEON.DOC.014045vF","lcard@neoninc.org","3 Amblyomma, 1 Ixodes","legacyData"
"48e8afd8-016d-4ffe-8249-a4532b59dcea","SCBI_039.tickPlot.tck","D02","SCBI","SCBI_039","distributed","pastureHay",38.896433,-78.166542,"WGS84",20.1,330.8,0.1,,,"2015-05-04T17:28Z","SCBI.2015.18","SCBI_039.20150504",,"drag",162,"Y",5,2,,"No known compromise","NEON.DOC.014045vF","lcard@neoninc.org","1 nymph dropped and not collected, 2 were collected","legacyData"
"1c973279-7e92-4797-9dc2-2fc113f12d13","SCBI_006.tickPlot.tck","D02","SCBI","SCBI_006","distributed","pastureHay",38.897079,-78.150277,"WGS84",20.1,277.5,0.1,,,"2015-05-26T13:05Z","SCBI.2015.21","SCBI_006.20150526",,"drag",161,"Y",1,0,,"No known compromise","NEON.DOC.014045vF","tspindler@Field-ops.org",,"legacyData"
"f36fa7a4-1954-484b-ae50-0c48e6d76ff3","SCBI_002.tickPlot.tck","D02","SCBI","SCBI_002","distributed","deciduousForest",38.893863,-78.142700,"WGS84",20.3,329.0,0.4,,,"2015-05-26T14:11Z","SCBI.2015.21","SCBI_002.20150526",,"drag and flag",167,"Y",1,4,,"No known compromise","NEON.DOC.014045vF","tspindler@Field-ops.org",,"legacyData"
"becdac4b-fffa-4f14-a866-66d7affc84a0","SCBI_013.tickPlot.tck","D02","SCBI","SCBI_013","distributed","deciduousForest",38.873041,-78.163313,"WGS84",20.2,361.3,0.3,,,"2015-05-26T17:50Z","SCBI.2015.21","SCBI_013.20150526",,"drag and flag",164,"Y",3,18,,"No known compromise","NEON.DOC.014045vF","tspindler@Field-ops.org",,"legacyData"
"94d50cb8-de88-44af-b41b-3bbbe7612427","SCBI_005.tickPlot.tck","D02","SCBI","SCBI_005","distributed","deciduousForest",38.901865,-78.161944,"WGS84",20.1,261.6,0.2,,,"2015-05-26T19:27Z","SCBI.2015.21","SCBI_005.20150526",,"drag and flag",166,"Y",1,50,,"No known compromise","NEON.DOC.014045vF","tspindler@Field-ops.org",,"legacyData"
"ac9b635a-4a3d-4114-a9cf-c77fe72067c1","SCBI_039.tickPlot.tck","D02","SCBI","SCBI_039","distributed","pastureHay",38.896433,-78.166542,"WGS84",20.1,330.8,0.1,,,"2015-05-27T13:34Z","SCBI.2015.21","SCBI_039.20150527",,"drag",165,"Y",2,0,,"Other (described in remarks)","NEON.DOC.014045vF","rcumberland@Field-ops.org","no taxonomy data, only field count data available.",
"c3f27903-2fbb-4ef5-834e-1d1c937bcbf5","SCBI_007.tickPlot.tck","D02","SCBI","SCBI_007","distributed","deciduousForest",38.886022,-78.129368,"WGS84",20.3,427.4,0.4,,,"2015-05-27T14:51Z","SCBI.2015.21","SCBI_007.20150527",,"drag",160,"Y",2,12,,"No known compromise","NEON.DOC.014045vF","rcumberland@Field-ops.org","site-year possibly subsampled in ID lab counts","legacyData, field adult count higher than ID lab (PDE >25%)"
