uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"1aad1415-3028-4b45-9cc4-d38125b4584a","SERC_002.tickPlot.tck","D02","SERC","SERC_002","distributed","deciduousForest",38.896257,-76.558180,"WGS84",20.1,17.3,0.1,,,"2015-06-08T16:01Z","SERC.2015.23","SERC_002.20150608",,"drag and flag",169,"Y",4,58,,"No known compromise","NEON.DOC.014045vF","llemmon@Field-ops.org",,"legacyData"
"8e2c4808-5f7c-43f7-bb53-01878b090309","SERC_005.tickPlot.tck","D02","SERC","SERC_005","distributed","deciduousForest",38.894058,-76.546297,"WGS84",20.2,4.9,0.2,,,"2015-06-08T18:35Z","SERC.2015.23","SERC_005.20150608",,"drag and flag",169,"Y",2,12,,"No known compromise","NEON.DOC.014045vF","llemmon@Field-ops.org",,"legacyData"
"a65c1fd4-e43f-4e2c-a455-70cf3fedf453","SERC_023.tickPlot.tck","D02","SERC","SERC_023","distributed","cultivatedCrops",38.873978,-76.535923,"WGS84",20.1,6.9,0.1,,,"2015-06-10T13:20Z","SERC.2015.23","SERC_023.20150610",,"drag",162,"Y",0,1,,"No known compromise","NEON.DOC.014045vF","llemmon@Field-ops.org",,"legacyData"
"7d6be026-6414-4e67-a744-4e4aba897d14","SERC_001.tickPlot.tck","D02","SERC","SERC_001","distributed","deciduousForest",38.868184,-76.535301,"WGS84",20.2,2.5,0.2,,,"2015-06-10T14:14Z","SERC.2015.23","SERC_001.20150610",,"drag and flag",161,"Y",3,22,,"No known compromise","NEON.DOC.014045vF","llemmon@Field-ops.org",,"legacyData"
"a90c31b0-95e1-4693-ac75-a518cca0ac88","SERC_012.tickPlot.tck","D02","SERC","SERC_012","distributed","deciduousForest",38.880016,-76.561641,"WGS84",20.1,19.3,0.1,,,"2015-06-10T15:13Z","SERC.2015.23","SERC_012.20150610",,"drag",164,"Y",0,18,,"No known compromise","NEON.DOC.014045vF","llemmon@Field-ops.org",,"legacyData"
"ea6d3135-935b-46e0-bfdc-14054698d815","SERC_006.tickPlot.tck","D02","SERC","SERC_006","distributed","deciduousForest",38.880025,-76.548383,"WGS84",20.3,3.0,0.5,,,"2015-06-10T16:57Z","SERC.2015.23","SERC_006.20150610",,"drag and flag",161,"Y",2,22,,"No known compromise","NEON.DOC.014045vF","llemmon@Field-ops.org",,"legacyData"
"39bb548a-bb4e-49f5-af52-a0dfcecaf0e2","SERC_006.tickPlot.tck","D02","SERC","SERC_006","distributed","deciduousForest",38.880025,-76.548383,"WGS84",20.3,3.0,0.5,,,"2015-06-29T16:39Z","SERC.2015.26","SERC_006.20150629",,"drag and flag",162,"Y",1,22,4,"Other (described in remarks)","NEON.DOC.014045vF","dhall-stratton@Field-ops.org","no taxonomy data, only field count data available.",
"131b60df-6221-44ff-bc30-5f07781cb294","SERC_005.tickPlot.tck","D02","SERC","SERC_005","distributed","deciduousForest",38.894058,-76.546297,"WGS84",20.2,4.9,0.2,,,"2015-06-29T17:55Z","SERC.2015.26","SERC_005.20150629",,"drag and flag",162,"Y",0,9,,"Other (described in remarks)","NEON.DOC.014045vF","charden@Field-ops.org","no taxonomy data, only field count data available.",
"b278153c-053a-423e-84a6-8809dfae1903","SERC_002.tickPlot.tck","D02","SERC","SERC_002","distributed","deciduousForest",38.896257,-76.558180,"WGS84",20.1,17.3,0.1,,,"2015-06-29T19:11Z","SERC.2015.26","SERC_002.20150629",,"drag and flag",164,"Y",0,77,,"Other (described in remarks)","NEON.DOC.014045vF","dhall-stratton@Field-ops.org","no taxonomy data, only field count data available.",
"d45f8c2c-36be-4ca5-a4ca-6cd9ccade74a","SERC_012.tickPlot.tck","D02","SERC","SERC_012","distributed","deciduousForest",38.880016,-76.561641,"WGS84",20.1,19.3,0.1,,,"2015-06-29T20:46Z","SERC.2015.26","SERC_012.20150629",,"drag",160,"Y",1,19,,"No known compromise","NEON.DOC.014045vF","charden@Field-ops.org",,"legacyData"
"dc33569a-30ad-41b7-8867-cb24acb590ed","SERC_001.tickPlot.tck","D02","SERC","SERC_001","distributed","deciduousForest",38.868184,-76.535301,"WGS84",20.2,2.5,0.2,,,"2015-06-30T13:08Z","SERC.2015.26","SERC_001.20150630",,"drag and flag",162,"Y",2,19,4,"No known compromise","NEON.DOC.014045vF","charden@Field-ops.org","site-year possibly subsampled in ID lab counts","legacyData, field larva count higher than ID lab (PDE >25%)"
"38226e87-3d40-4473-856a-40290a5078b0","SERC_023.tickPlot.tck","D02","SERC","SERC_023","distributed","cultivatedCrops",38.873978,-76.535923,"WGS84",20.1,6.9,0.1,,,"2015-06-30T14:30Z","SERC.2015.26","SERC_023.20150630",,"drag",150,"Y",0,0,1,"Other (described in remarks)","NEON.DOC.014045vF","dhall-stratton@Field-ops.org","no taxonomy data, only field count data available.",
